"","CandidateName","IndividualItemizedTotal","BigTechTotal","ProgrammerTotal"
"1",NA,NA,NA,NA
"2","Bernie Sanders","2904271.23","46840.8","174543.59"
"3","Kamala Harris","7603293.36","51779.71","46880.89"
"4","Beto O'Rourke","3827220.52","30193.7","18385.3"
"5","Pete Buttigieg","2549602.4","27250","23750"
"6","Elizabeth Warren","1786711.53","39470.94","71539.75"
"7","Cory Booker","4238894.87","26580.53","13718.25"
"8","Kirsten Gillibrand","2497960.9","7500","1350"
"9","Amy Klobuchar","3421762.07","4932.15","6640"
"10","Tulsi Gabbard","881878.8","6716.97","20810.92"
"11","Jay Inslee","1488634.36","26000","20139.6"
"12","John Hickenlooper","1813358.33","0","3259.15"
"13","Andrew Yang","342170.2","8390.78","26102.87"
"14","Marianne Williamson","611897.47","500","0"
"15","Julian Castro","719775.12","2950","1000"
"16","John Delaney","331244.84","0","0"
